"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","5.34","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2006-03","ISO_DATE"
"National Centers for Environmental Information","1.35","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1973-03","ISO_DATE"
"National Centers for Environmental Information","0.75","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1966-03","ISO_DATE"
"National Centers for Environmental Information","1.96","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1985-03","ISO_DATE"
"National Centers for Environmental Information","3.93","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1986-03","ISO_DATE"
"National Centers for Environmental Information","2.19","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1978-03","ISO_DATE"
"National Centers for Environmental Information","2.22","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2009-03","ISO_DATE"
"National Centers for Environmental Information","3.06","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1997-03","ISO_DATE"
"National Centers for Environmental Information","2.13","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1995-03","ISO_DATE"
"National Centers for Environmental Information","1.55","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1993-03","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2007-06","ISO_DATE"
"National Centers for Environmental Information","0.05","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1975-06","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-08","ISO_DATE"
"National Centers for Environmental Information","3.02","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1996-02","ISO_DATE"
"National Centers for Environmental Information","0.18","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1996-09","ISO_DATE"
"National Centers for Environmental Information","0.12","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1995-09","ISO_DATE"
"National Centers for Environmental Information","0.04","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2006-08","ISO_DATE"
"National Centers for Environmental Information","0.26","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1968-08","ISO_DATE"
"National Centers for Environmental Information","0.41","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1965-08","ISO_DATE"
"National Centers for Environmental Information","0.62","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1987-08","ISO_DATE"
"National Centers for Environmental Information","0.28","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-08","ISO_DATE"
"National Centers for Environmental Information","2.32","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2015-08","ISO_DATE"
"National Centers for Environmental Information","1.2","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2000-08","ISO_DATE"
"National Centers for Environmental Information","0.69","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2001-08","ISO_DATE"
"National Centers for Environmental Information","0.11","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1984-09","ISO_DATE"
"National Centers for Environmental Information","0.97","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1962-02","ISO_DATE"
"National Centers for Environmental Information","0.62","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1966-09","ISO_DATE"
"National Centers for Environmental Information","1.43","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1987-09","ISO_DATE"
"National Centers for Environmental Information","2.03","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1985-02","ISO_DATE"
"National Centers for Environmental Information","5.83","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-02","ISO_DATE"
"National Centers for Environmental Information","0.21","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-09","ISO_DATE"
"National Centers for Environmental Information","1.64","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1970-02","ISO_DATE"
"National Centers for Environmental Information","5.58","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2018-02","ISO_DATE"
"National Centers for Environmental Information","0.07","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1983-02","ISO_DATE"
"National Centers for Environmental Information","0.05","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1986-09","ISO_DATE"
"National Centers for Environmental Information","5.38","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1989-02","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2002-09","ISO_DATE"
"National Centers for Environmental Information","4.07","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1980-02","ISO_DATE"
"National Centers for Environmental Information","0.79","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2013-05","ISO_DATE"
"National Centers for Environmental Information","0.2","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1977-05","ISO_DATE"
"National Centers for Environmental Information","0.51","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1999-05","ISO_DATE"
"National Centers for Environmental Information","0.52","STRING","Maui","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1993-05","ISO_DATE"
